Date,Close, Volume
3/14/2011,35.34,6086861
3/11/2011,35.81,2535744
3/10/2011,35.75,2692563
3/9/2011,36.30,3274794
3/8/2011,35.98,2122816
3/7/2011,35.61,2489775
3/4/2011,35.33,3230201
3/3/2011,35.96,1719364
3/2/2011,35.59,2323492
3/1/2011,35.30,2594205
2/28/2011,35.78,2742076
2/25/2011,35.28,1499778
2/24/2011,35.11,2936542
2/23/2011,35.38,2938235
2/22/2011,35.61,2534664
2/18/2011,35.76,3610949
2/17/2011,35.85,2450486
2/16/2011,35.77,2165420
2/15/2011,35.83,3131205
2/14/2011,35.52,1823586
2/11/2011,35.86,1890261
2/10/2011,35.61,2686900
2/9/2011,35.74,2759747
2/8/2011,35.83,3399378
2/7/2011,36.04,3161072
2/4/2011,35.62,2307880
2/3/2011,35.82,2939824
2/2/2011,35.69,2241482
2/1/2011,35.95,3287323
1/31/2011,35.68,3235974
1/28/2011,35.86,3900347
1/27/2011,36.69,3061984
1/26/2011,36.41,2304125
1/25/2011,36.66,2052655
1/24/2011,36.75,4856855
1/21/2011,36.44,2268600
1/20/2011,36.47,3076007
1/19/2011,35.95,2861621
1/18/2011,36.21,4054957
1/14/2011,35.45,4193051
1/13/2011,35.67,4346360
1/12/2011,35.95,2833371
1/11/2011,35.92,3502756
1/10/2011,35.76,2609427
1/7/2011,36.00,2727828
1/6/2011,36.14,3570428
1/5/2011,35.96,4131571
1/4/2011,36.51,3294415
1/3/2011,36.25,1881886
12/31/2010,35.98,1287223
12/30/2010,36.05,1356035
12/29/2010,36.12,1587947
12/28/2010,36.05,1368400
12/27/2010,35.88,1211265
12/23/2010,35.92,1803187
